Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price
4,0,Abrupt Decay,Return to Ravnica,141,Near Mint,English,,,,,,,,
1,0,Absorb Vis,Modern Masters,71,Near Mint,English,foil,,,,,,,
1,0,Abzan Ascendancy,Khans of Tarkir,160,Near Mint,English,,,,,,,,
1,0,Ad Nauseam,Shards of Alara,63,Near Mint,English,,,,,,,,
2,0,Admonition Angel,Worldwake,1,Near Mint,English,,,,,,,,
1,0,Aegis of the Gods,Journey into Nyx,1,Near Mint,English,,,,,,,,
1,0,Aeon Chronicler,Planar Chaos,32,Good (Lightly Played),English,,,,,,,,
1,0,Aether Vial,Modern Masters,197,Near Mint,English,,,,,,,,
1,0,Affa Guard Hound,Rise of the Eldrazi,14,Near Mint,English,foil,,,,,,,
2,0,Ageless Entity,Duel Decks: Ajani vs. Nicol Bolas,18,Near Mint,English,,,,,,,,
1,0,Ajani Goldmane,Lorwyn,1,Good (Lightly Played),English,,,,,,,,
2,0,Ajani Vengeant,Duel Decks: Ajani vs. Nicol Bolas,1,Near Mint,English,,,,,,,,
2,0,Ajani Vengeant,Shards of Alara,154,Near Mint,English,,,,,,promo,,
3,0,"Ajani, Caller of the Pride",Magic 2014 Core Set,1,Near Mint,English,,,,,,,,
1,1,Akroma's Memorial,Future Sight,159,Near Mint,Chinese,,,,,,,,0
1,0,Alms Beast,Gatecrash,141,Near Mint,English,,,,,,,,
2,0,Alpha Brawl,Dark Ascension,82,Near Mint,English,,,,,,,,
1,0,Amrou Scout,Modern Masters,2,Near Mint,English,foil,,,,,,,
5,0,Amulet of Vigor,Worldwake,121,Near Mint,English,,,,,,,,
1,0,Ancestor's Prophet,Onslaught,3,Near Mint,English,,,,,,,,
1,0,Ancient Craving,Duel Decks: Sorin vs. Tibalt,28,Near Mint,English,,,,,,,,
1,0,Ancient Den,Planechase,130,Near Mint,English,,,,,,,,
3,0,Ancient Den,Mirrodin,278,Near Mint,English,,,,,,,,
4,0,Ancient Tomb,Tempest,305,Good (Lightly Played),English,,,,,,,,
2,0,Angelic Destiny,Magic 2012,3,Near Mint,English,,,,,,,,
1,0,Angelic Overseer,Innistrad,3,Near Mint,English,,,,,,,,
1,0,Animate Dead,Premium Deck Series: Graveborn,16,Near Mint,English,foil,,,,,,,
1,0,Anticipate,Dragons of Tarkir,45,Near Mint,English,,,,,,,,
1,0,Arbiter of Knollridge,Lorwyn,2,Near Mint,English,,,,,,,,
3,0,Arcane Sanctum,Shards of Alara,220,Near Mint,English,,,,,,,,
2,0,Arcanis the Omnipotent,Tenth Edition,66,Near Mint,English,,,,,,,,
1,0,Archangel's Light,Dark Ascension,1,Near Mint,English,,,,,,,,
3,0,Archive Trap,Zendikar,41,Near Mint,English,,,,,,,,
1,0,Archmage Ascension,Zendikar,42,Near Mint,English,,,,,,,,
1,1,Archon of Justice,Magic 2012,6,Near Mint,Chinese,,,,,,,,
1,0,Archon of Justice,Magic 2012,6,Near Mint,English,,,,,,,,
4,0,Archon of Redemption,Worldwake,3,Near Mint,English,,,,,,,,
1,0,Archon of the Triumvirate,Prerelease Events,55,Near Mint,English,foil,,,,,,,
1,0,Archweaver,Return to Ravnica,114,Near Mint,English,foil,,,,,,,
2,0,Archwing Dragon,Avacyn Restored,126,Near Mint,English,,,,,,,,
1,0,Arcum Dagsson,Coldsnap,27,Near Mint,English,,,,,,,,
1,0,Arid Mesa,Zendikar,211,Near Mint,English,,,,,,,,
1,0,Armored Cancrix,Magic 2011,44,Near Mint,English,foil,,,,,,,
1,0,Armored Skaab,Innistrad,43,Near Mint,English,foil,,,,,,,
4,0,Asceticism,Scars of Mirrodin,110,Near Mint,English,,,,,,,,
1,0,Ashenmoor Gouger,Shadowmoor,180,Near Mint,English,,,,,,,,
1,0,Ashenmoor Gouger,Shadowmoor,180,Near Mint,Japanese,,,,,,,,
1,0,Augur of Bolas,Magic 2013,43,Near Mint,English,,,,,,,,
1,0,Auriok Salvagers,Modern Masters,5,Near Mint,English,,,,,,,,
1,0,Avatar of Slaughter,Commander,111,Near Mint,English,,,,,,,,
1,0,Avatar of Woe,Premium Deck Series: Graveborn,6,Near Mint,English,foil,,,,,,,
2,0,Awakening Zone,Rise of the Eldrazi,176,Near Mint,English,,,,,,,,
2,0,Awakening Zone,Rise of the Eldrazi,176,Near Mint,Chinese,,,,,,,,
1,0,Axebane Guardian,Return to Ravnica,115,Near Mint,English,foil,,,,,,,
1,0,Azor's Elocutors,Return to Ravnica,210,Near Mint,English,,,,,,,,
1,0,Ball Lightning,Magic 2010,125,Near Mint,English,,,,,,,,
2,0,Banishing Stroke,Avacyn Restored,7,Near Mint,English,,,,,,,,
1,0,Barrel Down Sokenzan,Saviors of Kamigawa,94,Near Mint,Chinese,foil,,,,,,,
1,0,"Basandra, Battle Seraph",Conspiracy,184,Near Mint,English,,,,,,,,
1,1,Basilisk Collar,Worldwake,122,Near Mint,Chinese,,,,,,,,0
1,0,Battlefield Thaumaturge,Journey into Nyx,31,Near Mint,English,,,,,,,,
1,0,Beacon of Tomorrows,Fifth Dawn,24,Near Mint,English,,,,,,,,
2,0,Bear Umbra,Rise of the Eldrazi,177,Near Mint,English,,,,,,,,
1,1,Beast Within,New Phyrexia,103,Near Mint,Chinese,,,,,,,,0
2,0,Beast Within,New Phyrexia,103,Near Mint,English,,,,,,,,0
1,0,Beck // Call,Dragon's Maze,123,Near Mint,English,,,,,,,,
1,0,Behemoth Sledge,Duel Decks: Ajani vs. Nicol Bolas,28,Near Mint,English,,,,,,,,
2,0,Beseech the Queen,Shadowmoor,57,Near Mint,Japanese,,,,,,,,
1,0,Birds of Paradise,Fourth Edition,118,Near Mint,English,,,,,,,,
2,0,Birthing Pod,New Phyrexia,104,Near Mint,English,,,,,,,,
2,2,Birthing Pod,New Phyrexia,104,Near Mint,Chinese,,,,,,,,0
1,0,Blade of the Bloodchief,Zendikar,196,Near Mint,English,,,,,,,,
2,2,Blade of the Bloodchief,Zendikar,196,Near Mint,Chinese,,,,,,,,0
2,0,Blasphemous Act,Innistrad,130,Near Mint,English,,,,,,,,
2,0,Blatant Thievery,Onslaught,71,Near Mint,English,,,,,,,,
1,0,Blazing Archon,Premium Deck Series: Graveborn,11,Near Mint,English,foil,,,,,,,
1,0,Blazing Salvo,Duel Decks: Sorin vs. Tibalt,58,Near Mint,English,,,,,,,,
2,0,Blazing Specter,Duel Decks: Ajani vs. Nicol Bolas,52,Near Mint,English,,,,,,,,
1,0,Blightning,Duel Decks: Sorin vs. Tibalt,69,Near Mint,English,,,,,,,,
1,0,Blightsteel Colossus,Mirrodin Besieged,99,Near Mint,English,,,,,,,,
1,0,Blind Obedience,Gatecrash,6,Near Mint,English,,,,,,,,
1,0,Blinkmoth Nexus,Modern Masters,220,Near Mint,English,,,,,,,,
7,0,Blood Crypt,Return to Ravnica,238,Near Mint,English,,,,,,,,
1,0,Blood Moon,Modern Masters,106,Near Mint,English,,,,,,,,
1,0,Bloodbraid Elf,Planechase 2012,84,Near Mint,English,,,,,,,,
1,0,Bloodbraid Elf,Alara Reborn,50,Near Mint,English,,,,,,,,
4,0,Bloodchief Ascension,Zendikar,82,Near Mint,English,,,,,,,,
1,0,Bloodfray Giant,Return to Ravnica,89,Near Mint,English,foil,,,,,,,
1,0,Bloodline Keeper,Innistrad,90,Near Mint,English,,,,,,,,
1,0,Bloodlord of Vaasgoth,Magic 2012,82,Near Mint,English,,,,,,,,
1,0,Bludgeon Brawl,New Phyrexia,80,Near Mint,English,,,,,,,,
1,0,Bonesplitter,Modern Masters,202,Near Mint,English,,,,,,,,
2,0,Bonfire of the Damned,Avacyn Restored,129,Played,English,,,,,,,,
2,0,Boom // Bust,Planar Chaos,112,Near Mint,English,,,,,,,,
1,0,Boomerang,Tenth Edition,70,Near Mint,English,,,,,,,,
3,0,Boros Charm,Gatecrash,148,Near Mint,English,,,,,,,,
2,0,Braid of Fire,Coldsnap,78,Near Mint,English,,,,,,,,
3,0,Brainstorm,Ice Age,61,Near Mint,English,,,,,,,,
1,0,Breaking Point,Duel Decks: Sorin vs. Tibalt,67,Near Mint,English,,,,,,,,
4,0,Breakthrough,"",,,,,,,,,,,
4,0,Breeding Pool,Gatecrash,240,Near Mint,English,,,,,,,,
2,0,Bridge from Below,Modern Masters,74,Near Mint,English,,,,,,,,
1,0,Bridge from Below,Modern Masters,74,Near Mint,English,foil,,,,,,,
4,0,Bridge from Below,"",,,,,,,,,,,
1,0,Bringer of the Red Dawn,Fifth Dawn,62,Near Mint,English,,,,,,,,
1,0,Brink of Disaster,Magic 2012,84,Near Mint,English,foil,,,,,,,
1,0,Brion Stoutarm,Commander,187,Near Mint,English,,,,,,,,
2,0,Brittle Effigy,Magic 2011,202,Near Mint,English,,,,,,,,
1,0,Brood Birthing,Rise of the Eldrazi,138,Near Mint,English,foil,,,,,,,
1,0,Brooding Saurian,Coldsnap,106,Near Mint,English,,,,,,,,
2,0,Browbeat,Duel Decks: Sorin vs. Tibalt,66,Near Mint,English,,,,,,,,
3,0,Buried Alive,Premium Deck Series: Graveborn,20,Near Mint,English,foil,,,,,,,
3,0,Burn at the Stake,Avacyn Restored,130,Near Mint,English,,,,,,,,
2,0,Burning Wish,Judgment,83,Good (Lightly Played),English,,,,,,,,
2,0,Burning Wish,Judgment,83,Near Mint,English,,,,,,,,
1,0,Burning-Tree Emissary,Gatecrash,216,Near Mint,English,,,,,,,,
1,0,Butcher of the Horde,Khans of Tarkir,168,Near Mint,English,,,,,,,,
3,0,Call of the Conclave,Return to Ravnica,146,Near Mint,English,,,,,,,,
1,0,Call the Skybreaker,Eventide,98,Near Mint,English,,,,,,,,
1,0,Callous Oppressor,Onslaught,72,Near Mint,English,,,,,,,,
1,0,Cancel,Return to Ravnica,31,Near Mint,English,foil,,,,,,,
1,0,Canopy Vista,Battle for Zendikar,234,Mint,English,,,,,,,,
1,0,"Cao Cao, Lord of Wei",From the Vault: Legends,1,Near Mint,English,foil,,,,,,,
1,0,Capricious Efreet,Magic 2010,131,Near Mint,English,,,,,,,,
1,0,Capsize,Tempest,55,Near Mint,English,,,,,,,,
1,0,Captain of the Mists,Avacyn Restored,45,Near Mint,English,,,,,,,,
2,0,Carnival Hellsteed,Return to Ravnica,147,Near Mint,English,,,,,,,,
2,0,Carpet of Flowers,Urza's Saga,240,Near Mint,English,,,,,,,,
1,0,Cast Through Time,Rise of the Eldrazi,55,Near Mint,English,,,,,,,,
1,0,Catapult Master,Duel Decks: Elspeth vs. Tezzeret,18,Near Mint,English,,,,,,,,
4,0,Cavern of Souls,Avacyn Restored,226,Near Mint,English,,,,,,,,
1,0,Celestial Archon,Theros,3,Near Mint,English,,,,,,,,
4,4,Cemetery Reaper,Magic 2012,86,Near Mint,Chinese,,,,,,,,
1,0,Cemetery Reaper,Magic 2012,86,Near Mint,English,,,,,,,,
1,0,Cerodon Yearling,Alara Reborn,96,Near Mint,English,foil,,,,,,,
1,0,Chain Reaction,Worldwake,74,Near Mint,English,foil,,,,,,,
3,0,Chain Reaction,Worldwake,74,Near Mint,English,,,,,,,,
1,0,Chalice of the Void,Mirrodin,150,Near Mint,English,,,,,,,,0
4,0,Chancellor of the Annex,New Phyrexia,6,Near Mint,English,,,,,,,,
2,0,Chancellor of the Dross,New Phyrexia,54,Near Mint,English,,,,,,,,
3,0,Chancellor of the Forge,New Phyrexia,81,Near Mint,English,,,,,,,,
4,0,Chancellor of the Tangle,New Phyrexia,106,Near Mint,English,,,,,,,,
2,0,Chandra Ablaze,Zendikar,120,Near Mint,English,,,,,,,,
1,0,Chandra Nalaar,Lorwyn,159,Near Mint,English,,,,,,,,
1,0,"Chandra, the Firebrand",Magic 2012,124,Near Mint,Chinese,,,,,,,,
2,0,"Chandra, the Firebrand",Magic 2012,124,Near Mint,English,,,,,,,,
1,0,"Chandra, the Firebrand",Magic 2013,123,Near Mint,English,,,,,,,,
1,0,Charmbreaker Devils,Innistrad,134,Near Mint,English,,,,,,,,
2,0,Choke,Eighth Edition,237,Near Mint,English,,,,,,,,
1,0,Chord of Calling,Magic 2015 Core Set,172,Near Mint,English,,,,,,,,
2,0,Chromatic Lantern,Return to Ravnica,226,Near Mint,English,,,,,,,,
1,0,Chrome Mox,"",,,,,,,,,,,
2,0,Chrome Mox,Mirrodin,152,Near Mint,English,,,,,,,,
1,0,Chromium,Chronicles,109,Near Mint,English,,,,,,,,
2,0,Cinder Pyromancer,Premium Deck Series: Fire and Lightning,9,Near Mint,English,foil,,,,,,,
1,0,City of Brass,Modern Masters,221,Near Mint,English,,,,,,,,
4,0,City of Brass,"",,,,,,,,,,,
1,0,Civilized Scholar,Innistrad,47,Near Mint,English,foil,,,,,,,
1,0,Claws of Valakut,Worldwake,75,Near Mint,English,foil,,,,,,,
1,0,Clinging Mists,Dark Ascension,109,Near Mint,English,foil,,,,,,,
1,0,Collective Blessing,Return to Ravnica,150,Near Mint,English,,,,,,,,
6,0,Comet Storm,Worldwake,76,Near Mint,English,,,,,,,,
1,0,Command Tower,Commander,269,Near Mint,English,,,,,,,,
1,0,Commandeer,Coldsnap,29,Near Mint,English,,,,,,,,
2,0,Conjured Currency,Return to Ravnica,33,Near Mint,English,,,,,,,,
4,0,Conqueror's Pledge,Zendikar,8,Near Mint,English,,,,,,,,
1,0,Consume Spirit,Magic 2012,88,Near Mint,Chinese,foil,,,,,,,
3,0,Consuming Vapors,Rise of the Eldrazi,101,Near Mint,English,,,,,,,,
2,0,Contested War Zone,Mirrodin Besieged,144,Near Mint,English,,,,,,,,
1,1,Control Magic,Revised Edition,52,Near Mint,English,,,,,,,,0
2,0,Conundrum Sphinx,Magic 2011,51,Near Mint,English,,,,,,,,
1,0,Corpsejack Menace,Return to Ravnica,152,Near Mint,English,,,,,,,,
2,0,Counterbalance,Coldsnap,31,Near Mint,English,,,,,,,,
1,0,Counterbore,Shadowmoor,33,Near Mint,Japanese,,,,,,,,
3,0,Counterflux,Return to Ravnica,153,Near Mint,English,,,,,,,,
3,0,Counterlash,Dark Ascension,33,Near Mint,English,,,,,,,,
5,0,Counterspell,Ice Age,64,Played,English,,,,,,,,
1,0,Countryside Crusher,Modern Masters,108,Near Mint,English,,,,,,,,
1,0,Cover of Winter,Coldsnap,3,Near Mint,English,,,,,,,,
1,0,Cragganwick Cremator,Shadowmoor,87,Near Mint,English,,,,,,,,
1,0,Cranial Plating,Fifth Dawn,113,Near Mint,English,,,,,,,,
3,0,Creeping Renaissance,Innistrad,174,Near Mint,English,,,,,,,,
1,0,Crib Swap,Lorwyn,11,Near Mint,English,,,,,,,,
1,0,"Crosis, the Purger",Premium Deck Series: Graveborn,5,Near Mint,English,foil,,,,,,,
1,0,Crucible of Worlds,Fifth Dawn,114,Near Mint,English,,,,,,,,
2,0,Cruel Ultimatum,Duel Decks: Ajani vs. Nicol Bolas,69,Near Mint,English,,,,,,,,
1,0,Crusade,Duel Decks: Elspeth vs. Tezzeret,27,Near Mint,English,,,,,,,,
1,0,Crush of Wurms,Judgment,110,Near Mint,English,,,,,,,,
1,0,Crusher Zendikon,Worldwake,78,Near Mint,English,foil,,,,,,,
1,0,Cryptborn Horror,Return to Ravnica,212,Near Mint,English,,,,,,,,
1,0,Cryptic Command,Modern Masters,38,Near Mint,English,,,,,,,,
1,0,Cryptoplasm,Mirrodin Besieged,23,Near Mint,English,,,,,,,,
1,0,Crystal Ball,Magic 2011,203,Near Mint,English,,,,,,,,
1,0,Crystal Vein,Premium Deck Series: Graveborn,24,Near Mint,English,foil,,,,,,,
2,0,Cunning Lethemancer,Shards of Alara,69,Near Mint,English,,,,,,,,
1,0,Cunning Sparkmage,Worldwake,79,Near Mint,English,,,,,,,,
1,0,Curse of Echoes,Dark Ascension,34,Near Mint,English,,,,,,,,
1,0,Curse of Misfortunes,Dark Ascension,56,Near Mint,English,foil,,,,,,,
1,0,Curse of Misfortunes,Dark Ascension,56,Near Mint,English,,,,,,,,
2,0,Curse of Stalked Prey,Innistrad,136,Near Mint,English,,,,,,,,
1,0,Dack's Duplicate,Conspiracy,43,Near Mint,English,,,,,,,,
1,0,Daggerdrome Imp,Return to Ravnica,60,Near Mint,English,foil,,,,,,,
1,0,Dakmor Salvage,Duel Decks: Izzet vs. Golgari,79,Near Mint,English,,,,,,,,
1,0,"Darien, King of Kjeldor",Coldsnap,4,Near Mint,English,,,,,,,,
1,0,"Darigaaz, the Igniter",Duel Decks: Phyrexia vs. the Coalition,47,Near Mint,English,,,,,,,,
1,0,Dark Favor,Magic 2013,86,Near Mint,English,foil,,,,,,,
2,0,Dark Ritual,Ice Age,8,Near Mint,English,,,,,,,,
2,0,Dark Ritual,Mirage,14,Near Mint,English,,,,,,,,
4,0,Dark Ritual,Urza's Saga,127,Good (Lightly Played),English,,,,,,,,
1,0,Darkblast,Ravnica: City of Guilds,82,Near Mint,English,,,,,,,,
1,0,Darksteel Garrison,Future Sight,167,Near Mint,Chinese,,,,,,,,
1,0,Darksteel Ingot,Commander,245,Near Mint,English,,,,,,,,
4,0,Darksteel Juggernaut,Scars of Mirrodin,150,Near Mint,English,,,,,,,,
1,0,Dawnbringer Charioteers,Prerelease Events,78,Near Mint,English,foil,,,,,,,
1,0,Day of Judgment,Magic 2012,12,Near Mint,English,,,,,,,,
2,0,Daybreak Ranger,Innistrad,176,Near Mint,English,,,,,,,,
2,0,Deadbridge Goliath,Return to Ravnica,120,Near Mint,English,,,,,,,,
1,0,Deadeye Navigator,Avacyn Restored,47,Near Mint,English,,,,,,,,
1,0,Dearly Departed,Innistrad,9,Near Mint,English,foil,,,,,,,
2,0,Death by Dragons,Commander,118,Near Mint,English,,,,,,,,
1,0,Death Grasp,Duel Decks: Sorin vs. Tibalt,32,Near Mint,English,,,,,,,,
1,0,Death Match,Onslaught,136,Near Mint,English,,,,,,,,
1,0,Death's Shadow,Worldwake,57,Near Mint,English,,,,,,,,
1,1,Deathrite Shaman,Eternal Masters,215,Near Mint,English,,,,,,,,
2,0,Deathrite Shaman,"",,,,,,,,,,,0
3,0,Deceiver Exarch,New Phyrexia,33,Near Mint,English,,,,,,,,
1,0,Deicide,Journey into Nyx,7,Near Mint,English,,,,,,,,
7,0,Delver of Secrets,Innistrad,51,Near Mint,English,,,,,,,,
2,0,Demonic Dread,Alara Reborn,38,Near Mint,English,foil,,,,,,,
1,0,Deranged Outcast,Dark Ascension,112,Near Mint,English,,,,,,,,
1,0,Desecrated Earth,Zendikar,86,Near Mint,English,foil,,,,,,,
1,0,Deserter's Quarters,Journey into Nyx,160,Near Mint,English,foil,,,,,,,
3,0,Desolate Lighthouse,Avacyn Restored,227,Near Mint,English,,,,,,,,
1,0,Desperate Ritual,Modern Masters,110,Near Mint,English,,,,,,,,
2,0,Desperate Ritual,Champions of Kamigawa,163,Near Mint,English,,,,,,,,
1,0,Despise,New Phyrexia,56,Near Mint,English,,,,,,,,
1,0,Destructive Force,Magic 2011,133,Near Mint,English,,,,,,,,
6,1,Detention Sphere,Return to Ravnica,155,Near Mint,English,,,,,,,,
1,0,Deus of Calamity,Shadowmoor,204,Near Mint,Japanese,,,,,,,,
1,0,Devil's Play,Duel Decks: Sorin vs. Tibalt,72,Near Mint,English,,,,,,,,
2,0,Devil's Play,Innistrad,140,Near Mint,English,,,,,,,,
4,0,Devoted Druid,Shadowmoor,110,Near Mint,English,,,,,,,,
