Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price,Type,Cost,Rarity,Price,Image URL
4,0,Abrupt Decay,Return to Ravnica,141,Near Mint,English,,,,,,,,,Instant,{B}{G},Rare,$8.32,https://deckbox.org/system/images/mtg/cards/253561.jpg
1,0,Absorb Vis,Modern Masters,71,Near Mint,English,foil,,,,,,,,Sorcery,{6}{B},Common,$0.27,https://deckbox.org/system/images/mtg/cards/370360.jpg
1,0,Abzan Ascendancy,Khans of Tarkir,160,Near Mint,English,,,,,,,,,Enchantment,{W}{B}{G},Rare,$0.27,https://deckbox.org/system/images/mtg/cards/386464.jpg
1,0,Ad Nauseam,Shards of Alara,63,Near Mint,English,,,,,,,,,Instant,{3}{B}{B},Rare,$7.05,https://deckbox.org/system/images/mtg/cards/174915.jpg
2,0,Admonition Angel,Worldwake,1,Near Mint,English,,,,,,,,,Creature  - Angel,{3}{W}{W}{W},MythicRare,$6.28,https://deckbox.org/system/images/mtg/cards/197160.jpg
1,0,Aegis of the Gods,Journey into Nyx,1,Near Mint,English,,,,,,,,,Enchantment Creature  - Human Soldier,{1}{W},Rare,$1.49,https://deckbox.org/system/images/mtg/cards/380364.jpg
1,0,Aeon Chronicler,Planar Chaos,32,Good (Lightly Played),English,,,,,,,,,Creature  - Avatar,{3}{U}{U},Rare,$0.44,https://deckbox.org/system/images/mtg/cards/122449.jpg
1,0,Aether Vial,Modern Masters,197,Near Mint,English,,,,,,,,,Artifact,{1},Rare,$40.01,https://deckbox.org/system/images/mtg/cards/370514.jpg
1,0,Affa Guard Hound,Rise of the Eldrazi,14,Near Mint,English,foil,,,,,,,,Creature  - Hound,{2}{W},Uncommon,$0.32,https://deckbox.org/system/images/mtg/cards/198305.jpg
2,0,Ageless Entity,Duel Decks: Ajani vs. Nicol Bolas,18,Near Mint,English,,,,,,,,,Creature  - Elemental,{3}{G}{G},Rare,$0.50,https://deckbox.org/system/images/mtg/cards/249411.jpg
1,0,Ajani Goldmane,Lorwyn,1,Good (Lightly Played),English,,,,,,,,,Planeswalker  - Ajani,{2}{W}{W},Rare,$10.05,https://deckbox.org/system/images/mtg/cards/140233.jpg
2,0,Ajani Vengeant,Duel Decks: Ajani vs. Nicol Bolas,1,Near Mint,English,,,,,,,,,Planeswalker  - Ajani,{2}{R}{W},MythicRare,$8.48,https://deckbox.org/system/images/mtg/cards/266299.jpg
2,0,Ajani Vengeant,Shards of Alara,154,Near Mint,English,,,,,,promo,,,Planeswalker  - Ajani,{2}{R}{W},MythicRare,$12.65,https://deckbox.org/system/images/mtg/cards/174852.jpg
3,0,"Ajani, Caller of the Pride",Magic 2014 Core Set,1,Near Mint,English,,,,,,,,,Planeswalker  - Ajani,{1}{W}{W},MythicRare,$5.67,https://deckbox.org/system/images/mtg/cards/370680.jpg
1,1,Akroma's Memorial,Future Sight,159,Near Mint,Chinese,,,,,,,,0,Legendary Artifact,{7},Rare,$15.61,https://deckbox.org/system/images/mtg/cards/136150.jpg
